Country or Area	Period	% change
Albania, 1990-2007	5.20%
Albania, 1970-1990	-0.70%
Algeria, 1990-2007	1.40%
Algeria, 1970-1990	1.60%
Angola, 1990-2007	2.90%
Angola, 1970-1990	0.40%
Antigua and Barbuda, 1990-2007	1.70%
Antigua and Barbuda, 1970-1990	8.30%
Argentina, 1990-2007	1.50%
Argentina, 1970-1990	-0.70%
Armenia, 1990-2007	5.80%
Australia, 1990-2007	2.40%
Australia, 1970-1990	1.50%
Austria, 1990-2007	1.80%
Austria, 1970-1990	2.40%
Azerbaijan, 1990-2007	2.80%
Bahamas, 1990-2007	0.40%
Bahamas, 1970-1990	1.80%
Bahrain, 1990-2007	2.40%
Bahrain, 1970-1990	-1.30%
Bangladesh, 1990-2007	3.10%
Bangladesh, 1970-1990	0.60%
Barbados, 1990-2007	1.30%
Barbados, 1970-1990	1.50%
Belarus, 1990-2007	3.40%
Belgium, 1990-2007	1.80%
Belgium, 1970-1990	2.20%
Belize, 1990-2007	2.40%
Belize, 1970-1990	2.90%
Benin, 1990-2007	1.30%
Benin, 1970-1990	0.00%
Bhutan, 1990-2007	5.20%
Bhutan, 1970-1990	6.80%
Bolivia, 1990-2007	1.30%
Bolivia, 1970-1990	-1.10%
Bosnia and Herzegovina, 1990-2007	10.80%
Botswana, 1990-2007	4.20%
Botswana, 1970-1990	8.20%
Brazil, 1990-2007	1.20%
Brazil, 1970-1990	2.30%
Brunei, 1990-2007	-0.30%
Brunei, 1970-1990	-2.20%
Bulgaria, 1990-2007	2.30%
Bulgaria, 1970-1990	3.40%
Burkina Faso, 1990-2007	2.50%
Burkina Faso, 1970-1990	1.30%
Burundi, 1990-2007	-2.70%
Burundi, 1970-1990	1.10%
Cambodia, 1990-2007	6.20%
Cameroon, 1990-2007	0.60%
Cameroon, 1970-1990	3.30%
Canada, 1990-2007	2.20%
Canada, 1970-1990	2.00%
Cape Verde, 1990-2007	3.30%
CEE/CIS and Baltic States, 1990-2007	1.60%
Central African Republic, 1990-2007	-0.80%
Central African Republic, 1970-1990	-1.30%
Chad, 1990-2007	2.40%
Chad, 1970-1990	-1.00%
Chile, 1990-2007	3.70%
Chile, 1970-1990	1.50%
China, 1990-2007	8.90%
China, 1970-1990	6.60%
Colombia, 1990-2007	1.00%
Colombia, 1970-1990	2.00%
Comoros, 1990-2007	-0.40%
Comoros, 1970-1990	0.10%
Congo, 1990-2007	-0.20%
Congo, 1970-1990	3.20%
Congo Dem. Rep., 1990-2007	-4.30%
Congo Dem. Rep., 1970-1990	-2.40%
Costa Rica, 1990-2007	2.50%
Costa Rica, 1970-1990	0.70%
Côte d’Ivoire, 1990-2007	-0.70%
Côte d’Ivoire, 1970-1990	-1.90%
Croatia, 1990-2007	3.00%
Cuba, 1990-2007	3.60%
Cyprus, 1990-2007	2.20%
Cyprus, 1970-1990	5.90%
Czech Republic, 1990-2007	2.40%
